Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,114.000000,114.639999,113.139999,114.180000,112.577347,988802
2022-11-22,114.540001,114.940002,113.720001,114.080002,112.478752,1149230
2022-11-23,114.339996,114.720001,113.540001,113.760002,112.163246,1510222
2022-11-24,113.599998,114.080002,112.860001,113.260002,111.670265,961969
2022-11-25,113.580002,114.459999,113.099998,113.820000,112.222404,1413037
2022-11-28,110.400002,112.300003,107.220001,107.360001,105.853073,2304090
2022-11-29,108.099998,109.180000,107.779999,109.180000,107.647530,1317135
2022-11-30,110.000000,110.620003,108.320000,109.199997,107.667244,1927508
2022-12-01,110.000000,110.220001,108.440002,110.139999,108.594055,1173964
2022-12-02,110.239998,111.779999,110.099998,110.980003,109.422272,1378531
2022-12-05,111.120003,111.300003,109.480003,110.320000,108.771530,883616
2022-12-06,109.720001,111.699997,109.500000,110.839996,109.284225,893253
2022-12-07,108.839996,109.440002,107.040001,108.400002,106.878479,2225764
2022-12-08,108.160004,110.820000,108.160004,110.139999,108.594055,1067593
2022-12-09,110.959999,111.940002,109.639999,111.639999,110.072998,1079199
2022-12-12,111.300003,114.300003,111.139999,112.099998,110.526543,1086336
2022-12-13,112.500000,114.000000,111.419998,113.480003,111.887177,1378940
2022-12-14,112.980003,114.199997,111.639999,113.000000,111.413910,1001632
2022-12-15,112.040001,113.559998,110.680000,110.680000,109.126472,1344832
2022-12-16,110.699997,111.419998,109.320000,109.980003,108.436302,1790376
2022-12-19,110.239998,111.680000,110.139999,110.940002,109.382828,857890
2022-12-20,110.019997,111.339996,108.879997,111.080002,109.520866,663979
2022-12-21,111.160004,113.300003,110.779999,113.300003,111.709702,821009
2022-12-22,113.779999,114.120003,111.639999,111.839996,110.270187,802227
2022-12-23,111.599998,112.260002,110.940002,111.739998,110.171593,467239
2022-12-27,112.940002,113.680000,112.300003,112.820000,111.236435,487884
2022-12-28,113.000000,113.099998,111.459999,111.620003,110.053284,533122
2022-12-29,111.300003,112.019997,110.580002,112.019997,110.447662,484868
2022-12-30,111.680000,111.760002,110.820000,111.019997,109.461700,544003
2023-01-02,112.220001,114.080002,111.680000,113.860001,112.261841,667019
2023-01-03,113.500000,116.300003,113.239998,114.540001,112.932297,1101680
2023-01-04,114.919998,115.559998,112.519997,115.379997,113.760506,1314343
2023-01-05,115.000000,116.199997,114.699997,115.199997,113.583031,938465
2023-01-06,115.639999,116.540001,114.919998,116.540001,114.904228,866818
2023-01-09,116.680000,117.959999,115.339996,117.500000,115.850746,1182539
2023-01-10,117.120003,117.160004,114.080002,115.099998,113.484436,1162770
